"Geo_GEOID","Geo_NAME","SE_T002_001","SE_T002_002","SE_T002_003","SE_T012_001","SE_T012_002","SE_T012_003","SE_T057_001","SE_T098_001","SE_T104_001","B25077001","B25077001s","lng","lat"
"05000US01071","Jackson County, Alabama","52608","48.80748","1077.867493","42.8","41.3","44.3","38422","1978","591","103800","2853.333333", -85.99935476090211, 34.779452447543996
"05000US01073","Jefferson County, Alabama","659096","593.0917","1111.288596","37.5","35.8","39.1","47220","1973","820","145700","1003.030303", -86.89649079936817, 33.55431344439898
"05000US01075","Lamar County, Alabama","14066","23.2555","604.8462927","44.3","44.2","44.7","34298","1976","432","71100","2852.121212", -88.09695397334626, 33.7791415473424
"05000US01077","Lauderdale County, Alabama","92641","138.7465","667.6996249","41.3","39.5","42.7","43657","1977","601","124100","2829.69697", -87.65400977998507, 34.90140673949371
"05000US01079","Lawrence County, Alabama","33433","48.4061","690.6774611","42.2","41.4","42.7","42339","1981","557","97600","3381.818182", -87.31098906410061, 34.52167638375441
"05000US01081","Lee County, Alabama","153947","253.389","607.5519979","30.5","29.3","31.8","45056","1993","806","156400","2258.787879", -85.35547099113768, 32.60114594424426
"05000US01083","Limestone County, Alabama","90257","161.1906","559.9394345","39","38","40.4","51115","1990","628","142500","2575.757576", -86.98140111198126, 34.81009900788842
"05000US01085","Lowndes County, Alabama","10565","14.75741","715.9114683","40.4","38.4","43.1","27914","1987","589","68900","6955.151515", -86.65009818456198, 32.15474788578871
"05000US01087","Macon County, Alabama","19684","32.32671","608.9082112","38.2","36","39.4","32390","1976","592","77000","2221.818182", -85.69265252564752, 32.38595896211258
"05000US01089","Madison County, Alabama","349973","436.5883","801.6087549","38.1","36.7","39.5","60150","1987","783","171200","1178.787879", -86.5502258499357, 34.76308989623247
"05000US01091","Marengo County, Alabama","20066","20.54087","976.881845","42.2","40.7","43.3","30713","1978","511","87900","4370.909091", -87.78953798323391, 32.247665247937924
"05000US01093","Marion County, Alabama","30239","40.73734","742.2920446","43.9","42.6","45","34074","1979","482","85500","4790.909091", -87.88713333598099, 34.136557743302916
"05000US01095","Marshall County, Alabama","94534","167.0678","565.842041","38.8","37.3","40.1","39831","1980","604","115700","2260", -86.30663949124168, 34.36695607400557
"05000US01097","Mobile County, Alabama","414291","336.9863","1229.400031","37.2","35.9","38.5","44263","1978","801","123500","1116.969697", -88.20580857700568, 30.787207175278585
"05000US01099","Monroe County, Alabama","21975","21.42466","1025.687433","41.5","39.7","42.9","28182","1983","506","87700","4138.787879", -87.3654305864059, 31.57087888313846
"05000US01101","Montgomery County, Alabama","227392","289.9064","784.3634673","36","34.3","37.5","45358","1978","825","122000","1335.757576", -86.20761876812563, 32.22026314298569
"05000US01103","Morgan County, Alabama","119555","206.3571","579.3597438","39.8","38.4","41.7","46883","1981","613","124900","2321.212121", -86.85294249441873, 34.45346850165462
"05000US01105","Perry County, Alabama","9856","13.69529","719.663566","37.1","35.5","41.1","24912","1974","516","73700","6741.212121", -87.29440689068436, 32.63846208529049
"05000US01107","Pickens County, Alabama","20042","22.73804","881.4302707","42.2","40.9","44.3","31679","1976","420","89100","3740", -88.08875112558103, 33.280794637264655
"05000US01109","Pike County, Alabama","33277","49.51168","672.1039819","31.2","29.2","32.9","33193","1985","613","102300","4904.242424", -85.9409330841909, 31.80272719524927
"05000US01111","Randolph County, Alabama","22615","38.95448","580.5494574","42.8","42","44.3","37496","1982","606","85600","2735.151515", -85.45912874289938, 33.29378478162148
"05000US01113","Russell County, Alabama","58636","91.45387","641.1538833","34.8","33.3","36.2","38400","1983","742","114000","3307.878788", -85.18492443352055, 32.28839602861802
"05000US01115","St. Clair County, Alabama","86576","137.008","631.9045308","40","39.2","41.3","54042","1993","702","142800","2600", -86.31470440601356, 33.71569291270354
"05000US01117","Shelby County, Alabama","205951","262.2347","785.3689886","38.1","37.4","38.7","72310","1994","954","195400","2161.212121", -86.66066457874713, 33.26427840860711
"05000US01119","Sumter County, Alabama","13285","14.69759","903.8894821","36.5","33.3","39.4","20428","1980","589","73400","3696.363636", -88.1988460793075, 32.59105508321246
"05000US01121","Talladega County, Alabama","81057","110.0156","736.7771959","40.8","39.9","41.6","37923","1980","598","94200","2636.363636", -86.16588622065998, 33.38008105721601
"05000US01123","Tallapoosa County, Alabama","40958","57.16235","716.5206325","43","42.7","43.6","39395","1982","565","105200","3860", -85.7974984352169, 32.86237745687607
"05000US01125","Tuscaloosa County, Alabama","202471","153.1925","1321.677191","32.1","30.7","33.5","48022","1989","784","160000","1458.181818", -87.52511028912777, 33.28957201721387
"05000US01127","Walker County, Alabama","65593","82.90385","791.193658","42.3","41","43.5","37025","1979","607","84800","1953.939394", -87.29732765663023, 33.80331039660305
