Geo_GEOID,Geo_NAME,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T057_001,SE_T098_001,SE_T104_001,ACS16_5yr_B25077001,ACS16_5yr_B25077001s
05000US08003,"Alamosa County, Colorado",16353,22.6315,722.5770374,30.2,29.8,30.4,32385,1976,634,141600,5042.424242
05000US08005,"Arapahoe County, Colorado",617668,774.0886,797.9293557,36.3,35.2,37.5,66288,1983,1142,266600,1361.212121
05000US08007,"Archuleta County, Colorado",12355,9.15124,1350.090159,49.5,47.9,51.3,45607,1993,883,268400,9545.454545
05000US08009,"Baca County, Colorado",3648,1.427793,2554.992854,47.5,47.4,47.6,37477,1963,530,69900,6592.727273
05000US08011,"Bent County, Colorado",5816,3.84436,1512.865499,41.2,39.8,47.3,34773,1957,639,76800,5095.757576
05000US08013,"Boulder County, Colorado",313961,432.2507,726.3400572,36,34.6,37.3,72282,1982,1236,391000,3040.606061
05000US08014,"Broomfield County, Colorado",62449,1892.197,33.00343322,37.6,36.7,38.2,83334,1996,1417,328200,4096.969697
05000US08015,"Chaffee County, Colorado",18507,18.26213,1013.40847,49.1,45.3,51.4,50993,1981,847,289900,9418.181818
05000US08017,"Cheyenne County, Colorado",2071,1.164611,1778.276162,37.8,39.2,36.4,54375,1968,625,89200,11360.60606
05000US08019,"Clear Creek County, Colorado",9238,23.3757,395.1966913,47.6,46.7,48.1,68250,1974,808,297000,10695.75758
05000US08021,"Conejos County, Colorado",8213,6.379385,1287.428186,38.7,38.1,39.9,34630,1973,526,113800,5193.333333
05000US08023,"Costilla County, Colorado",3590,2.924421,1227.593493,50.5,48,52.9,26610,1980,552,110800,5260.606061
05000US08025,"Crowley County, Colorado",5537,7.031784,787.4246583,39.6,39.4,41.6,31719,1954,659,74200,8399.393939
05000US08027,"Custer County, Colorado",4375,5.923162,738.6257913,56.8,59.2,55.3,38605,1991,725,230700,17065.45455
05000US08029,"Delta County, Colorado",30221,26.46121,1142.086922,47.5,45.5,49.1,42011,1980,818,196200,5466.060606
05000US08031,"Denver County, Colorado",663303,4325.863,153.3342703,34.2,34,34.5,56258,1966,1035,292700,1910.909091
05000US08033,"Dolores County, Colorado",1789,1.676396,1067.170399,46,40.4,53.9,32240,1973,693,115900,6809.69697
05000US08035,"Douglas County, Colorado",314238,373.9755,840.2635997,37.8,37.2,38.4,105759,1997,1459,376300,1899.393939
05000US08037,"Eagle County, Colorado",52894,31.40013,1684.51548,35.9,35.6,36.5,78763,1990,1284,438500,12189.69697
05000US08039,"Elbert County, Colorado",24225,13.08864,1850.84212,45.4,45.3,45.6,87288,1992,1202,353700,6486.060606
05000US08041,"El Paso County, Colorado",665171,312.7507,2126.841051,33.8,32.4,35.5,60219,1985,1012,227000,1186.060606
05000US08043,"Fremont County, Colorado",46835,30.54957,1533.08218,44.3,41,49.6,42308,1980,741,159000,2743.030303
05000US08045,"Garfield County, Colorado",57495,19.50613,2947.534991,36.1,35.8,36.3,61300,1991,1135,299700,7376.363636
05000US08047,"Gilpin County, Colorado",5708,38.07972,149.8960459,44.8,43.9,46.8,67544,1978,1058,255000,20348.48485
05000US08049,"Grand County, Colorado",14490,7.847528,1846.441272,43,43.5,42.7,67623,1988,987,297500,14915.15152
05000US08051,"Gunnison County, Colorado",15889,4.905312,3239.141692,34.4,34.4,34.6,50746,1981,882,311700,16667.87879
05000US08053,"Hinsdale County, Colorado",856,0.76618,1117.230888,56.4,57.3,55.7,51250,1981,696,275400,13001.21212
05000US08055,"Huerfano County, Colorado",6521,4.098595,1591.032941,54.5,53.4,55.2,33257,1972,594,153400,11942.42424
05000US08057,"Jackson County, Colorado",1306,0.8093073,1613.725716,51.2,51.6,51,45053,1974,704,170300,17947.27273
05000US08059,"Jefferson County, Colorado",558810,731.2229,764.2129616,40.5,39,42,72017,1978,1118,299100,976.3636364
